项目ID,请求专业类型,学校,学院,项目名称,标准项目名称,方向,项目类型,年份,录取分析标题,总成绩计算方式,分数段,拟录人数,进入复试人数,分段录取率,来源网站,更新时间
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,220-229,1,1,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,全日制,2025,MBA(全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,230-239,1,1,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,非全日制,2025,MBA(非全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,151-159,19,0,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,非全日制,2025,MBA(非全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,160-169,18,0,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,非全日制,2025,MBA(非全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,170-179,14,0,0.0,MBA大师,2026-03-08 11:23:33
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,非全日制,2025,MBA(非全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,180-189,6,0,0.0,MBA大师,2025-06-23 09:57:42
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,非全日制,2025,MBA(非全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,190-199,3,0,0.0,MBA大师,2025-06-23 09:57:42
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,非全日制,2025,MBA(非全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,200-209,2,0,0.0,MBA大师,2025-06-23 09:57:43
105,MBA,河海大学,商学院,(06)会计管理与财务金融,会计管理与财务金融,nan,非全日制,2025,MBA(非全),入学考试总成绩由初试成绩和复试成绩相加计算所得（成绩保留小数点后两位）。,210-219,1,0,0.0,MBA大师,2025-06-23 09:57:44
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,151-159,27,29,93.1,MBA大师,2025-06-24 16:07:34
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,160-169,23,24,95.83,MBA大师,2025-06-24 16:07:34
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,170-179,22,25,88.0,MBA大师,2025-06-24 16:07:34
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,180-189,25,26,96.15,MBA大师,2025-06-24 16:07:34
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,190-199,17,20,85.0,MBA大师,2025-06-24 16:07:34
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,200-209,12,12,100.0,MBA大师,2025-06-24 16:07:34
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,210-219,8,9,88.89,MBA大师,2025-06-24 16:07:34
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,220-229,2,2,100.0,MBA大师,2025-06-24 16:07:34
57,MBA,江南大学,商学院,(02)人力资源管理,人力资源管理,nan,非全日制,2025,MBA(非全),总成绩＝初试成绩＋复试成绩,230-239,1,1,100.0,MBA大师,2025-06-24 16:07:34
89,MBA,南京林业大学,经济管理学院,MBA,MBA,nan,非全日制,2025,MBA(非全),录取成绩＝初试总成绩（折合百分制）×70％＋复试总成绩（折合百分制）×30％,151-159,17,17,100.0,MBA大师,2025-06-23 09:57:38
89,MBA,南京林业大学,经济管理学院,MBA,MBA,nan,非全日制,2025,MBA(非全),录取成绩＝初试总成绩（折合百分制）×70％＋复试总成绩（折合百分制）×30％,160-169,14,14,100.0,MBA大师,2025-06-23 09:57:40
89,MBA,南京林业大学,经济管理学院,MBA,MBA,nan,非全日制,2025,MBA(非全),录取成绩＝初试总成绩（折合百分制）×70％＋复试总成绩（折合百分制）×30％,170-179,18,18,100.0,MBA大师,2025-06-23 09:57:41
89,MBA,南京林业大学,经济管理学院,MBA,MBA,nan,非全日制,2025,MBA(非全),录取成绩＝初试总成绩（折合百分制）×70％＋复试总成绩（折合百分制）×30％,180-189,7,8,87.5,MBA大师,2025-06-23 09:57:42
89,MBA,南京林业大学,经济管理学院,MBA,MBA,nan,非全日制,2025,MBA(非全),录取成绩＝初试总成绩（折合百分制）×70％＋复试总成绩（折合百分制）×30％,190-199,3,3,100.0,MBA大师,2025-06-23 09:57:42
89,MBA,南京林业大学,经济管理学院,MBA,MBA,nan,非全日制,2025,MBA(非全),录取成绩＝初试总成绩（折合百分制）×70％＋复试总成绩（折合百分制）×30％,200-209,3,3,100.0,MBA大师,2025-06-23 09:57:43
