学校,学院,专业类型,招生人数,学费,城市,性质,项目ID,详情页,大学ID,大学名称,学院专业列表,学院招生年份
延安大学,政法与公共管理学院,MPA,非全日制:48人,3.6万-6.0万,陕西省延安市,,406,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=406,447,延安大学,MPA,2026
西安财经大学,公共管理学院,MPA,全日制:28人,2.4万-7.0万,陕西省西安市,,407,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=407,448,西安财经大学,MPA,2026
西安邮电大学,经济与管理学院,MPA,非全日制:15人,3.6万-6.0万,陕西省西安市,,413,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=413,449,西安邮电大学,MBA、MPAcc、MPA,2026
西安邮电大学,人文与外国语学院,MPA,非全日制:17人,3.6万-6.0万,陕西西安,,1908,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1908,449,西安邮电大学,MPA,2025
西北政法大学,非全日制硕士教育中心,MPA,非全日制:60人,3.6万-6.0万,陕西省西安市,,104600,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=104600,456,西北政法大学,MAud、MPA,2026
中共陕西省委党校,教研部,MPA,非全日制:20人,3.0万-3.6万,陕西省西安市,,1951,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1951,457,中共陕西省委党校,MPA,2026
西藏民族大学,管理学院,MPA,"全日制:11人,非全日制:9人",1.5万-3.0万,陕西省咸阳市,,477,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=477,459,西藏民族大学,MLIS、MTA、MPA、MBA,2026
河北大学,管理学院,MPA,非全日制:140人,1.4万-5.4万,河北省保定市,,225,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=225,68,河北大学,MAud、MLIS、MPA、MPAcc、MBA,2026
河北地质大学,法政学院,MPA,"全日制:10人,非全日制:23人",1.7万-7.7万,河北省石家庄市,,1865,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1865,70,河北地质大学,MPA,2026
河北地质大学,土地科学与空间规划学院,MPA,"全日制:10人,非全日制:13人",1.7万-7.7万,河北省石家庄市,,1866,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1866,70,河北地质大学,MPA,2026
河北工业大学,人文与法律学院,MPA,"全日制:44人,非全日制:58人",2.1万-15.0万,天津市,211,781,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=781,71,河北工业大学,MPA,2026
河北科技大学,经济管理学院,MPA,非全日制:55人,1.7万-6.0万,河北省石家庄市,,237,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=237,72,河北科技大学,MPA、MEM、MBA,2026
河北师范大学,法政与公共管理学院,MPA,非全日制:91人,1.4万-6.0万,河北省石家庄市,,224,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=224,73,河北师范大学,MPA,2026
燕山大学,文法学院,MPA,非全日制:133人,2.1万-6.0万,河北省秦皇岛市,,226,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=226,75,燕山大学,MPA,2026
河北经贸大学,公共管理学院,MPA,非全日制:90人,2.1万-6.0万,河北省石家庄市,,227,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=227,76,河北经贸大学,MPA,2026
华北电力大学(保定),法政系,MPA,"全日制:4人,非全日制:30人",2.4万-23.8万,河北省保定市,"211,双一流",223,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=223,77,华北电力大学(保定),MPA,2026
华北理工大学,经济管理学院,MPA,"非全日制:77人,全日制:10人",2.1万-3.3万,河北省唐山市,,228,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=228,78,华北理工大学,MEM、MPA,2026
山西大学,政治与公共管理学院,MPA,非全日制:170人,2.4万-6.6万,山西省太原市,双一流,501,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=501,81,山西大学,MPA,2026
太原理工大学,文法与外语学院,MPA,非全日制:90人,2.4万-7.5万,山西省太原市,"211,双一流",1909,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1909,83,太原理工大学,MPA,2026
山西财经大学,公共管理学院,MPA,非全日制:86人,1.6万-7.5万,山西省太原市,,499,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=499,84,山西财经大学,MPA,2026
山西农业大学,公共管理学院,MPA,非全日制:50人,4.8万,山西省晋中市,,500,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=500,86,山西农业大学,MPA,2026
山西师范大学,经济与管理学院,MPA,非全日制:72人,2.4万-3.0万,山西省太原市,,498,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=498,87,山西师范大学,MPAcc、MPA,2026
辽宁大学,公共管理学院,MPA,非全日制:119人,3.6万-10.0万,辽宁省沈阳市,"211,双一流",458,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=458,101,辽宁大学,MPA,2026
大连理工大学,MPA教育中心,MPA,非全日制:170人,9.0万-26.0万,辽宁省大连市,"985,211,双一流",456,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=456,102,大连理工大学,MPA,2026
东北大学,文法学院,MPA,非全日制:275人,1.6万-12.0万,辽宁省沈阳市,"985,211,双一流",1869,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1869,105,东北大学,MPA,2026
辽宁工程技术大学,公共管理与法学院,MPA,非全日制:74人,1.8万-5.5万,辽宁省阜新市,,1868,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1868,107,辽宁工程技术大学,MPA,2026
